Date of Listing,Date of Listing Approval,Issue Name*2,Code,Market Segment,Outline of Listing Issue*3
"Oct. 08, 2021","Sep. 08, 2021","Japan Ecosystem Co.,Ltd.",9249,2nd Section,
"Oct. 07, 2021","Sep. 02, 2021",ONE CAREER Inc.,4377,Mothers,
"Oct. 01, 2021","Sep. 01, 2021","MANAC Chemical Partners Co.,Ltd **",4360,2nd Section,
"Oct. 01, 2021","Sep. 01, 2021",Kufu Company Inc. **,4376,Mothers,
"Oct. 01, 2021","Sep. 01, 2021",INFRONEER Holdings Inc. **,5076,1st Section,
"Oct. 01, 2021","Sep. 01, 2021","Ikka Holdings Co.,Ltd. **",7127,1st Section,
"Oct. 01, 2021","Sep. 01, 2021",MARUKA FURUSATO Corporation **,7128,1st Section,
"Oct. 01, 2021","Sep. 01, 2021",Miahelsa Holdings Corporation **,7129,JASDAQ Standard,
"Oct. 01, 2021","Sep. 01, 2021","YAMAE GROUP HOLDINGS CO.,LTD. **",7130,1st Section,
"Oct. 01, 2021","Sep. 01, 2021","Okinawa Financial Group,Inc. **",7350,1st Section,
"Oct. 01, 2021","Sep. 01, 2021","Juroku Financial Group,Inc. **",7380,1st Section,
"Oct. 01, 2021","Sep. 01, 2021","Hokkoku Financial Holdings,Inc. **",7381,1st Section,
"Oct. 01, 2021","Sep. 01, 2021",TRE HOLDINGS CORPORATION **,9247,1st Section,
"Oct. 01, 2021","Sep. 01, 2021","People, Dreams & Technologies Group Co.,Ltd. **",9248,1st Section,
"Sep. 30, 2021","Aug. 25, 2021",Asterisk Inc.,6522,Mothers,
"Sep. 29, 2021","Aug. 25, 2021",Safie Inc.,4375,Mothers,
"Sep. 29, 2021","Aug. 24, 2021","ProjectCompany,Inc.",9246,Mothers,
"Sep. 28, 2021","Aug. 24, 2021","Global Communication Planning Co.,Ltd.",4073,Mothers,
"Sep. 28, 2021","Aug. 24, 2021",ROBOT PAYMENT INC.,4374,Mothers,
"Sep. 28, 2021","Aug. 23, 2021",DIGITALIFT Inc.,9244,Mothers,
"Sep. 28, 2021","Aug. 23, 2021",Livero Inc.,9245,Mothers,
"Sep. 24, 2021","Aug. 18, 2021",Renascience Inc.,4889,Mothers,
"Sep. 22, 2021","Aug. 16, 2021",Core Concept Technologies Inc.,4371,Mothers,
"Sep. 22, 2021","Aug. 17, 2021","YMIRLINK,Inc.",4372,Mothers,
"Sep. 22, 2021","Aug. 19, 2021","Simplex Holdings,Inc.",4373,1st Section,
"Sep. 02, 2021","Jul. 29, 2021",Mobilus Corporation,4370,Mothers,
"Sep. 02, 2021","Jul. 29, 2021","Media Research Institute,Inc.",9242,Mothers,
"Aug. 27, 2021","Jul. 21, 2021","J Frontier Co.,Ltd.",2934,Mothers,
"Aug. 24, 2021","Jul. 16, 2021","TANGOYA CO.,LTD.",7126,JASDAQ Standard,
"Aug. 20, 2021","Jul. 15, 2021","CNS Co.,Ltd.",4076,Mothers,
"Aug. 20, 2021","Jul. 14, 2021","Future Link Network Co.,Ltd.",9241,Mothers,
"Jul. 30, 2021","Jun. 22, 2021","AIMECHATEC,Ltd.",6227,2nd Section,
"Jul. 29, 2021","Jun. 24, 2021",Delivery Consulting Inc.,9240,Mothers,
"Jul. 28, 2021","Jun. 22, 2021","Brains Technology,Inc.",4075,Mothers,
"Jul. 27, 2021","Jun. 18, 2021","CIRCULATION Co.,Ltd.",7379,Mothers,
"Jul. 21, 2021","Jun. 17, 2021",LANDNET Inc.,2991,JASDAQ Standard,
"Jul. 20, 2021","Jun. 16, 2021",ASIRO Inc.,7378,Mothers,
"Jul. 16, 2021","Jun. 11, 2021","LaKeel,Inc.",4074,Mothers,
"Jul. 14, 2021","Jun. 14, 2021","DN HOLDINGS CO.,LTD. **",7377,2nd Section,
"Jul. 08, 2021","Jun. 04, 2021","Colan Totte.Co.,Ltd.",7792,Mothers,
"Jul. 06, 2021","Jun. 01, 2021","BCC Co.,Ltd.",7376,Mothers,
"Jul. 01, 2021","Jun. 01, 2021","Densan System Holdings Co.,Ltd. **",4072,1st Section,
"Jul. 01, 2021","Jun. 01, 2021","Mercuria Holdings Co.,Ltd. **",7347,1st Section,
"Jul. 01, 2021","Jun. 01, 2021","REFINVERSE Group,Inc. **",7375,Mothers,
"Jun. 30, 2021","May 27, 2021","Plus Alpha Consulting Co.,LTD.",4071,Mothers,
"Jun. 29, 2021","May 25, 2021",BlueMeme Inc.,4069,Mothers,
"Jun. 29, 2021","May 26, 2021",Waqoo Inc.,4937,Mothers,
"Jun. 29, 2021","May 27, 2021",OMNI-PLUS SYSTEM LIMITED,7699,Mothers Foreign Stocks,
"Jun. 28, 2021","May 24, 2021",Confidence Inc.,7374,Mothers,
"Jun. 25, 2021","May 21, 2021","Nippon Denkai,Ltd.",5759,Mothers,
"Jun. 25, 2021","May 21, 2021",StemCell Institute,7096,Mothers,
"Jun. 24, 2021","May 21, 2021",Basis Corporation,4068,Mothers,
"Jun. 24, 2021","May 21, 2021","HCS HOLDINGS CO.,LTD.",4200,JASDAQ Standard,
"Jun. 24, 2021","May 21, 2021","ALMADO,INC.",4932,JASDAQ Standard,
"Jun. 24, 2021","May 21, 2021","SERENDIP HOLDINGS Co.,Ltd.",7318,Mothers,
"Jun. 23, 2021","May 20, 2021",Ai Partners Financial Inc.,7345,Mothers,
"Jun. 23, 2021","May 20, 2021","Aidma Holdings,Inc.",7373,Mothers,
"Jun. 23, 2021","May 20, 2021","DREAMBED CO.,LTD.",7791,2nd Section,
"Jun. 22, 2021","May 18, 2021",Payroll Inc.,4489,Mothers,
"Jun. 22, 2021","May 19, 2021",Perseus Proteomics Inc.,4882,Mothers,
"Jun. 22, 2021","May 17, 2021",Decollte Holdings Corporation,7372,Mothers,
"Jun. 18, 2021","May 14, 2021","Enjin Co.,Ltd.",7370,Mothers,
"Jun. 16, 2021","May 14, 2021",Zenken Corporation,7371,Mothers,
"Jun. 10, 2021","May 07, 2021","TENDA Co.,LTD.",4198,JASDAQ Standard,
"Jun. 10, 2021","May 07, 2021",WonderPlanet Inc.,4199,Mothers,
"Jun. 02, 2021","Apr. 28, 2021","Meiho Holdings,Inc.",7369,Mothers,
"Apr. 27, 2021","Mar. 24, 2021","TESS Holdings Co.,Ltd.",5074,1st Section,
"Apr. 22, 2021","Mar. 17, 2021","Visional,Inc.",4194,Mothers,
"Apr. 22, 2021","Mar. 19, 2021",NEO MARKETING Inc.,4196,JASDAQ Standard,
"Apr. 22, 2021","Mar. 19, 2021",STELLA PHARMA CORPORATION,4888,Mothers,
"Apr. 15, 2021","Mar. 12, 2021","Cybertrust Japan Co.,Ltd.",4498,Mothers,
"Apr. 13, 2021","Mar. 08, 2021",KIBUN FOODS INC.,2933,1st Section,
"Apr. 08, 2021","Mar. 05, 2021",Iceco Inc.,7698,JASDAQ Standard,
"Apr. 07, 2021","Mar. 05, 2021","Fabrica Communications Co.,LTD.",4193,JASDAQ Standard,
"Apr. 07, 2021","Mar. 04, 2021","HYOJITO Co.,Ltd.",7368,2nd Section,
"Apr. 06, 2021","Mar. 02, 2021","CELM,Inc.",7367,JASDAQ Standard,
"Apr. 05, 2021","Mar. 01, 2021",OXIDE Corporation,6521,Mothers,
"Apr. 01, 2021","Mar. 01, 2021",Oriental Shiraishi Corporation **,1786,1st Section,
"Apr. 01, 2021","Mar. 01, 2021","ASKA Pharmaceutical Holdings Co.,Ltd. **",4886,1st Section,
"Apr. 01, 2021","Mar. 01, 2021","SAWAI GROUP HOLDINGS Co.,Ltd. **",4887,1st Section,
"Apr. 01, 2021","Mar. 01, 2021",CHIC Holdings INC. **,7365,Mothers,
"Apr. 01, 2021","Mar. 01, 2021","LITALICO Inc. (This Company Name was changed from LITALICO Media & Solutions Inc. on Apr. 01, 2021.) **",7366,1st Section,
"Apr. 01, 2021","Mar. 01, 2021","REXT,Inc. **",7697,JASDAQ Standard,
"Mar. 30, 2021","Feb. 24, 2021","Appier Group,Inc.",4180,Mothers,
"Mar. 30, 2021","Feb. 24, 2021",SpiderPlus & Co.,4192,Mothers,
"Mar. 26, 2021","Feb. 19, 2021","Broad-Minded Co.,Ltd.",7343,Mothers,
"Mar. 26, 2021","Feb. 19, 2021","e-LogiT co.,ltd.",9327,JASDAQ Standard,
"Mar. 25, 2021","Feb. 22, 2021",G-NEXT Inc.,4179,Mothers,
"Mar. 25, 2021","Feb. 19, 2021",baby calendar Inc.,7363,Mothers,
"Mar. 24, 2021","Feb. 19, 2021",Sharing Innovations Inc.,4178,Mothers,
"Mar. 24, 2021","Feb. 18, 2021","Shikino High-Tech CO.,LTD.",6614,JASDAQ Standard,
"Mar. 19, 2021","Feb. 10, 2021",coconala Inc.,4176,Mothers,
"Mar. 19, 2021","Feb. 12, 2021",Terminalcare Support Institute Inc.,7362,Mothers,
"Mar. 18, 2021","Feb. 12, 2021","i-plug,Inc.",4177,Mothers,
"Mar. 16, 2021","Feb. 18, 2021",WingArc1st Inc.,4432,1st Section,
"Mar. 16, 2021","Feb. 09, 2021","Human Creation Holdings,Inc.",7361,Mothers,
"Mar. 12, 2021","Mar. 05, 2021","MARUJUN CO.,LTD.",3422,2nd Section,
"Feb. 26, 2021","Jan. 21, 2021",coly Inc.,4175,Mothers,
"Feb. 26, 2021","Jan. 21, 2021",MUROMACHI CHEMICALS INC.,4885,JASDAQ Standard,
"Feb. 25, 2021","Jan. 20, 2021",Appirits Inc.,4174,JASDAQ Standard,
"Feb. 19, 2021","Jan. 15, 2021",WACUL.INC,4173,Mothers,
"Feb. 18, 2021","Jan. 15, 2021",AXXZIA Inc.,4936,Mothers,
"Feb. 10, 2021","Jan. 06, 2021","Arr Planner Co.,Ltd.",2983,Mothers,
"Feb. 05, 2021","Dec. 28, 2020","QD Laser,Inc.",6613,Mothers,
